CODE,PERIOD,NR_TRIPS Y,NR_TRIPS N,DatabaseReleaseDate
JEW,2019041,2724,0,20200715
JEW,2019042,2859,0,20200715
JEW,2019043,2741,0,20200715
JEW,2019044,2921,0,20200715
JEW,2019045,2742,0,20200715
JEW,2019046,2559,0,20200715
JEW,2019047,2762,0,20200715
JEW,2019048,3431,0,20200715
JEW,2019049,2497,0,20200715
JEW,2019050,2254,1,20200715
JEW,2019051,2266,0,20200715
JEW,2019052,2161,119,20200715
JEW,2020001,2454,109,20200715
JEW,2020002,2643,27,20200715
JEW,2020003,2545,162,20200715
JEW,2020004,1908,495,20200715
JEW,2020005,2507,291,20200715
JEW,2020006,2746,272,20200715
JEW,2020007,2660,273,20200715
JEW,2020008,2254,222,20200715
JEW,2020009,2874,345,20200715
JEW,2020010,2467,189,20200715
JEW,2020011,2673,151,20200715
JEW,2020012,2953,279,20200715
JEW,2020013,2117,249,20200715
JEW,2020014,2347,342,20200715
JEW,2020015,2847,489,20200715
JEW,2020016,2701,543,20200715
KRO,2019037,32315,6588,20200715
KRO,2019038,34018,6808,20200715
KRO,2019039,33039,6868,20200715
KRO,2019040,35646,7275,20200715
KRO,2019041,36499,7311,20200715
KRO,2019042,36194,7232,20200715
KRO,2019043,35782,7104,20200715
KRO,2019044,36182,7215,20200715
KRO,2019045,37585,7340,20200715
KRO,2019046,36904,6912,20200715
KRO,2019047,35820,6811,20200715
KRO,2019048,37420,7061,20200715
KRO,2019049,37378,7123,20200715
KRO,2019050,38066,7388,20200715
KRO,2019051,36908,6983,20200715
KRO,2019052,34546,4308,20200715
KRO,2020001,40891,3780,20200715
KRO,2020002,40352,4305,20200715
KRO,2020003,40109,4899,20200715
KRO,2020004,40157,4927,20200715
KRO,2020005,40215,5070,20200715
KRO,2020006,39562,6025,20200715
KRO,2020007,40083,6932,20200715
KRO,2020008,38436,6438,20200715
KRO,2020009,39119,6603,20200715
KRO,2020010,40369,6517,20200715
KRO,2020011,43923,7244,20200715
KRO,2020012,31498,5230,20200715
KRO,2020013,27683,4869,20200715
KRO,2020014,34393,6631,20200715
KRO,2020015,34215,6862,20200715
KRO,2020016,32859,6466,20200715
LIDL,2019037,603,18,20200715
LIDL,2019038,661,14,20200715
LIDL,2019039,720,3,20200715
LIDL,2019040,719,0,20200715
LIDL,2019041,801,0,20200715
LIDL,2019042,787,0,20200715
LIDL,2019043,664,0,20200715
LIDL,2019044,733,0,20200715
LIDL,2019045,716,0,20200715
LIDL,2019046,665,0,20200715
LIDL,2019047,699,0,20200715
LIDL,2019048,659,0,20200715
LIDL,2019049,731,0,20200715
LIDL,2019050,292,0,20200715
LIDL,2019051,852,0,20200715
LIDL,2019052,770,0,20200715
LIDL,2020001,832,0,20200715
LIDL,2020002,885,2,20200715
LIDL,2020003,938,55,20200715
LIDL,2020004,969,50,20200715
LIDL,2020005,940,56,20200715
LIDL,2020006,959,62,20200715
LIDL,2020007,986,53,20200715
LIDL,2020008,972,66,20200715
LIDL,2020009,1099,56,20200715
LIDL,2020010,1063,97,20200715
LIDL,2020011,1316,626,20200715
LIDL,2020012,1292,450,20200715
LIDL,2020013,849,441,20200715
LIDL,2020014,832,523,20200715
LIDL,2020015,858,575,20200715
LIDL,2020016,894,616,20200715
MEJ,2019037,9266,917,20200715
MEJ,2019038,9224,289,20200715
MEJ,2019039,9193,0,20200715
MEJ,2019040,9587,1,20200715
MEJ,2019041,10324,0,20200715
MEJ,2019042,10153,0,20200715
MEJ,2019043,9667,0,20200715
MEJ,2019044,10637,0,20200715
MEJ,2019045,9865,0,20200715
MEJ,2019046,10256,0,20200715
MEJ,2019047,10199,0,20200715
MEJ,2019048,12438,0,20200715
MEJ,2019049,11038,0,20200715
MEJ,2019050,11204,0,20200715
MEJ,2019051,11323,97,20200715
MEJ,2019052,10320,309,20200715
MEJ,2020001,11056,176,20200715
MEJ,2020002,11063,69,20200715
MEJ,2020003,11220,313,20200715
MEJ,2020004,10380,346,20200715
MEJ,2020005,10755,412,20200715
MEJ,2020006,10452,464,20200715
MEJ,2020007,11036,507,20200715
MEJ,2020008,10390,453,20200715
MEJ,2020009,10460,607,20200715
MEJ,2020010,11040,548,20200715
MEJ,2020011,13237,530,20200715
MEJ,2020012,12672,651,20200715
MEJ,2020013,8908,516,20200715
MEJ,2020014,9129,688,20200715
MEJ,2020015,9341,752,20200715
MEJ,2020016,8643,692,20200715
MUR,2019037,4371,11,20200715
MUR,2019038,4506,15,20200715
MUR,2019039,4450,14,20200715
MUR,2019040,5141,1,20200715
MUR,2019041,5099,0,20200715
MUR,2019042,5036,0,20200715
MUR,2019043,5123,0,20200715
MUR,2019044,5051,0,20200715
MUR,2019045,4745,0,20200715
MUR,2019046,4877,0,20200715
MUR,2019047,4587,0,20200715
MUR,2019048,4769,0,20200715
MUR,2019049,4905,0,20200715
MUR,2019050,1816,0,20200715
MUR,2019051,4446,0,20200715
MUR,2019052,3723,0,20200715
MUR,2020001,4445,0,20200715
MUR,2020002,4793,0,20200715
MUR,2020003,4863,31,20200715
MUR,2020004,4793,26,20200715
MUR,2020005,4895,31,20200715
MUR,2020006,4935,48,20200715
MUR,2020007,4912,38,20200715
MUR,2020008,4731,43,20200715
MUR,2020009,4944,47,20200715
MUR,2020010,5119,51,20200715
MUR,2020011,5110,205,20200715
MUR,2020012,4381,143,20200715
MUR,2020013,3119,172,20200715
MUR,2020014,2073,1490,20200715
